No.,Script_Kr,Script_En,Script_Jp,Script_Cn
0,  ,,,
1,Game Start,Game Start,,
2,Load Game,Load Game,,
3,Setting,Setting,,
4,Exit,Exit,,
5,New Game,New Game,,
6,데미안,Damian,,
7,-경고-\n\n문 너머로 위험한 기운이 느껴진다.\n들어가시겠습니까?,-Warning-\n\nA dangerous aura is felt beyond the door.\nWould you like to go in?,,
8,[ 마검 계약 ]\n계약자는 이 순간부로 마검 [에고 소드] 계약을 체결한다.\n이 계약을 통해^ 계약자는 마검의 강력한 힘을 손에 넣을 것이며^\n그 대가로 계약자의 영혼과 생명은 마검에게 귀속됨을 인정한다.\n\n◀마검의 힘▶\n계약자는 마검의 힘을 사용할 수 있는 권한을 얻는다.\n그러나 이 힘은 마검의 의지에 따라 부여되며^\n그 결과는 계약자의 책임이다.\n◀영혼의 귀속▶\n이 계약이 체결되는 순간부터^ 나의 영혼은 마검에게 속하게 되며^\n나의 존재는 마검의 영원한 동반자가 된다.\n◀힘의 대가▶\n계약자는 마검의 힘을 자유롭게 사용할 수 있으며^\n그 대가로 마물의 마력과 무기를 에고 소드에게 받친다.\n◀파기 불가▶\n계약은 육신과 영혼이 파괴되기 전까지 영원히 지속된다.\n◀서약▶\n계약자는 이 계약의 모든 내용을 숙지하였으며^\n자유의지로 서명함으로써^ 내용을 성실히 이행할 것이다.,[Demon Sword Contract]\nThe contractor enters into a contract with the Demon Sword [Ego Sword] from this moment on.\nThrough this contract^ the contractor will obtain the great power of the Demon Sword^\nIn return^ the contractor acknowledges that his soul and life will belong to the Demon Sword.,,
9,계속하기,Continue,,
10,설정,Settings,,
11,언어,Language,,
12,게임 종료,Exit Game,,
13,화면,Screen,,
14,전체 화면,Full Screen,,
15,창 모드,Window Mode,,
16,전체 창 모드,Full Window Mode,,
17,소리,Sound,,
18,전체 음량,Full Volume,,
19,배경음,Background Sound,,
20,효과음,Sound Effects,,
21,몬스터에 부딪치면 전투가 시작됩니다!,When you hit a monster^ the battle begins!,,
22,음식과 물약을 획득하면 체력이 회복 됩니다!,Get food and potions to restore your health!,,
23,열쇠와 같은 색깔의 문을 열 수 있습니다!,You can open doors of the same color as the key!,,
24,특정 기믹을 해제하여 나아가세요!,Unlock certain gimmicks to advance!,,
100,공격력,Attack Power,,
101,방어력,Defense Power,,
102,체력,Health,,
103,치명 확률,Critical Chance,,
104,치명 공격력,Critical Attack Power,,
105,레벨,Level,,
106,공격 속도,Attack Speed,,
107,방어 속도,Defense Speed,,
108,이동 속도,Movement Speed,,
109,초록 열쇠,Green Key,,
110,노랑 열쇠,Yellow Key,,
111,붉은 열쇠,Red Key,,
112,사과,Apple,,
113,고기,Meat,,
114,소형 물약,Small Potion,,
115,중형 물약,Medium Potion,,
116,대형 물약,Large Potion,,
117,축복 물약,Blessing Potion,,
118,공격 룬,Attack Rune,,
119,방어 룬,Defense Rune,,
120,체력 룬,Health Rune,,
121,초록 빛이 감도는 청동 열쇠.\n닫힌 초록색 문에 사용할 수 있을 것 같다.,A bronze key with a green glow.\nIt seems like it could be used on closed green doors.,,
122,노랑 빛이 감도는 황동 열쇠.\n닫힌 노랑색 문에 사용할 수 있을 것 같다.,A brass key with a yellow glow.\nIt seems like it could be used on closed yellow doors.,,
123,붉은 빛이 감도는 구리 열쇠.\n닫힌 붉은색 문에 사용할 수 있을 것 같다.,A copper key with a red glow.\nIt seems like it could be used on closed red doors.,,
124,빨갛게 잘 익은 사과.\n약간의 허기를 채워주어\n기운을 북돋아 주는 것 같다.\n체력회복 <color=#00FF7F><b>+20%</b></color>,A ripe red apple.\nIt seems to fill a little hunger\nand boost energy.\nRecovers stamina <color=#00FF7F><b>+20%</b></color>,,
125,두툼한 고기 조각.\n배고픔에 지친 모험가에게\n힘이 나게 해준다.\n체력회복 <color=#00FF7F><b>+30%</b></color>,A thick piece of meat.\nIt gives strength to adventurers who are exhausted from hunger.\nRecovers stamina <color=#00FF7F><b>+30%</b></color>,,
126,작은 병에 담긴 물약.\n흔한 약초를 달여 만들었지만\n빠르게 체력을 회복시켜준다..\n체력회복 <color=#00FF7F><b>+40%</b></color>,"A potion in a small bottle.\nIt is made by boiling common herbs,\nbut it quickly restores stamina..\nRecovers stamina <color=#00FF7F><b>+40%</b></color>",,
127,넉넉한 병에 담긴 물약.\n비싼 약초가 사용되어 비싸게 거래된다.\n지친 모험가도 즉시 회복시켜줄 수 있다..\n체력회복 <color=#00FF7F><b>+50%</b></color>,A potion in a generous bottle.\nIt is traded at a high price because it uses expensive herbs.\nIt can instantly restore even exhausted adventurers..\nRecovers stamina <color=#00FF7F><b>+50%</b></color>,,
128,귀한 약초로 약사가 특별하게 제조하여\n실신한 사람도 벌떡 일어나게 만든다..\n체력회복 <color=#00FF7F><b>+70%</b></color>,A rare herb that the pharmacist Specially made\nIt makes even the fainted stand up..\nRecovers stamina <color=#00FF7F><b>+70%</b></color>,,
129,신비로운 빛이 나는 물약.\n죽은 사람도 살린다는 기적의 물약으로\n제조법을 찾기 위한 약사들이 앞다퉈 연구 중이다..\n체력회복 <color=#00FF7F><b>+100%</b></color>,A potion with a mysterious glow.\nIt is a miraculous potion that can even revive the dead.\nPharmacists are racing to find the recipe..\nRecovers stamina <color=#00FF7F><b>+100%</b></color>,,
130,파괴의 힘이 담긴 마석.\n마법으로 새겨진 고대 문자가 빛나고 있다.\n내면에서 파괴의 힘이 솟아난다.,A magic stone with the power of destruction.\nAncient letters engraved with magic are shining.\nThe power of destruction rises from within.,,
131,인내의 힘이 담긴 마석.\n마법으로 새겨진 고대 문자가 빛나고 있다.\n내면에서 인내의 힘이 솟아난다.,A magic stone with the power of endurance.\nAncient letters engraved with magic are shining.\nThe power of endurance rises from within.,,
132,생명의 힘이 담긴 마석.\n마법으로 새겨진 고대 문자가 빛나고 있다.\n내면에서 생명의 힘이 솟아난다.,A magic stone with the power of life.\nAncient letters engraved with magic are shining.\nThe power of life rises from within.,,
4000,워프석 반지,Warpstone Ring,,
4001,워프석이 박힌 반지.\n워프 장치와 공명을 일으켜 워프 시스템을 활성화시킨다.,A ring with a warpstone.\nIt resonates with the warp device and activates the warp system.,,
4002,레인저 부츠,Ranger Boots,,
4003,스피리트 윈드 부츠,Spirit Wind Boots,,
4004,엔젤 윙 부츠,Angel Wing Boots,,
4005,타르타로스 부츠,Tartaros Boots,,
